Time	Xa		Ya		Za				
0.037453184	-0.03	Ya=	-0.98	Za=	-0.07			0.037453184	1
0.074906367	-0.02	Ya=	-0.94	Za=	-0.09			0.037453184	2
0.112359551	-0.05	Ya=	-1	Za=	-0.09			0.037453184	3
0.149812734	-0.05	Ya=	-1.14	Za=	-0.09			0.037453184	4
0.187265918	-0.02	Ya=	-0.94	Za=	-0.09			0.037453184	5
0.224719101	-0.05	Ya=	-1	Za=	-0.09			0.037453184	6
0.262172285	-0.05	Ya=	-1.14	Za=	-0.09			0.037453184	7
0.299625468	-0.02	Ya=	-0.94	Za=	-0.09			0.037453184	8
0.337078652	-0.03	Ya=	-1.03	Za=	-0.02			0.037453184	9
0.374531835	-0.06	Ya=	-1.03	Za=	-0.02			0.037453184	10
0.411985019	-0.06	Ya=	-1.03	Za=	-0.02			0.037453184	11
0.449438202	-0.07	Ya=	-1.01	Za=	-0.09			0.037453184	12
0.486891386	-0.04	Ya=	-1	Za=	-0.03			0.037453184	13
0.524344569	0	Ya=	-0.99	Za=	-0.12			0.037453184	14
0.561797753	-0.02	Ya=	-0.96	Za=	-0.1			0.037453184	15
0.599250936	-0.04	Ya=	-1.02	Za=	-0.02			0.037453184	16
0.63670412	-0.05	Ya=	-1.09	Za=	-0.05			0.037453184	17
0.674157303	0	Ya=	-0.93	Za=	-0.07			0.037453184	18
0.711610487	-0.05	Ya=	-1.09	Za=	-0.04			0.037453184	19
0.74906367	-0.02	Ya=	-1.04	Za=	-0.06			0.037453184	20
0.786516854	-0.03	Ya=	-1.03	Za=	-0.06			0.037453184	21
0.823970037	-0.06	Ya=	-1.01	Za=	-0.02			0.037453184	22
0.861423221	-0.02	Ya=	-1	Za=	-0.07			0.037453184	23
0.898876404	-0.06	Ya=	-1.04	Za=	-0.03			0.037453184	24
0.936329588	-0.05	Ya=	-0.84	Za=	-0.04			0.037453184	25
0.973782772	-0.08	Ya=	-1.07	Za=	-0.04			0.037453184	26
1.011235955	-0.04	Ya=	-1.03	Za=	-0.05			0.037453184	27
1.048689139	-0.04	Ya=	-1.02	Za=	-0.05			0.037453184	28
1.086142322	-0.02	Ya=	-1.11	Za=	-0.03			0.037453184	29
1.123595506	-0.05	Ya=	-1.07	Za=	-0.04			0.037453184	30
1.161048689	-0.04	Ya=	-0.96	Za=	-0.04			0.037453184	31
1.198501873	-0.02	Ya=	-1	Za=	-0.1			0.037453184	32
1.235955056	-0.08	Ya=	-0.97	Za=	-0.09			0.037453184	33
1.27340824	-0.04	Ya=	-1.05	Za=	0			0.037453184	34
1.310861423	-0.07	Ya=	-0.94	Za=	-0.1			0.037453184	35
1.348314607	-0.05	Ya=	-0.96	Za=	-0.04			0.037453184	36
1.38576779	-0.06	Ya=	-1.04	Za=	-0.09			0.037453184	37
1.423220974	-0.03	Ya=	-0.98	Za=	-0.12			0.037453184	38
1.460674157	-0.02	Ya=	-1.1	Za=	-0.05			0.037453184	39
1.498127341	-0.05	Ya=	-0.97	Za=	-0.05			0.037453184	40
1.535580524	-0.04	Ya=	-1.03	Za=	-0.06			0.037453184	41
1.573033708	-0.06	Ya=	-0.98	Za=	-0.07			0.037453184	42
1.610486891	-0.07	Ya=	-0.99	Za=	-0.04			0.037453184	43
1.647940075	-0.07	Ya=	-0.96	Za=	-0.01			0.037453184	44
1.685393258	-0.03	Ya=	-1	Za=	-0.05			0.037453184	45
1.722846442	-0.07	Ya=	-1.02	Za=	-0.11			0.037453184	46
1.760299625	-0.04	Ya=	-1.04	Za=	-0.02			0.037453184	47
1.797752809	-0.04	Ya=	-1	Za=	-0.11			0.037453184	48
1.835205993	-0.07	Ya=	-0.9	Za=	-0.11			0.037453184	49
1.872659176	-0.09	Ya=	-1.03	Za=	0			0.037453184	50
1.91011236	-0.02	Ya=	-1.07	Za=	-0.05			0.037453184	51
1.947565543	-0.05	Ya=	-1.01	Za=	-0.05			0.037453184	52
