time,Xa,Ya,Za,,,,,,,
0.03745318352,-1.27,-0.08,-0.12,,,,-1,0.12,1,0.03745318352
0.07490636704,-1.27,-0.08,-0.12,,,,-1,0.12,2,0.03745318352
0.1123595506,-1.27,-0.08,-0.12,,,,-1,0.12,3,0.03745318352
0.1498127341,-1.01,0.01,0.06,,,,-1,-0.06,4,0.03745318352
0.1872659176,-1.08,-0.01,0.02,,,,-1,-0.02,5,0.03745318352
0.2247191011,-1.21,0.01,-0.06,,,,-1,0.06,6,0.03745318352
0.2621722846,-0.75,0.03,0.05,,,,-1,-0.05,7,0.03745318352
0.2996254682,-1.13,-0.02,-0.01,,,,-1,0.01,8,0.03745318352
0.3370786517,-1,0.03,-0.01,,,,-1,0.01,9,0.03745318352
0.3745318352,-0.95,0,-0.03,,,,-1,0.03,10,0.03745318352
0.4119850187,-0.72,-0.05,-0.04,,,,-1,0.04,11,0.03745318352
0.4494382022,-1.37,-0.04,-0.07,,,,-1,0.07,12,0.03745318352
0.4868913858,-1,-0.02,-0.05,,,,-1,0.05,13,0.03745318352
0.5243445693,-1.21,-0.02,-0.09,,,,-1,0.09,14,0.03745318352
0.5617977528,-1.12,0.03,-0.04,,,,-1,0.04,15,0.03745318352
0.5992509363,-0.91,0.03,-0.01,,,,-1,0.01,16,0.03745318352
0.6367041199,-0.92,-0.02,-0.04,,,,-1,0.04,17,0.03745318352
0.6741573034,-0.89,0,-0.05,,,,-1,0.05,18,0.03745318352
0.7116104869,-1.21,-0.06,-0.09,,,,-1,0.09,19,0.03745318352
0.7490636704,-1.06,0.02,-0.02,,,,-1,0.02,20,0.03745318352
0.7865168539,-1.06,0.05,-0.03,,,,-1,0.03,21,0.03745318352
0.8239700375,-1.1,-0.03,-0.03,,,,-1,0.03,22,0.03745318352
0.861423221,-1.36,0,-0.06,,,,-1,0.06,23,0.03745318352
0.8988764045,-1.04,-0.04,-0.02,,,,-1,0.02,24,0.03745318352
0.936329588,-1.1,-0.02,-0.06,,,,-1,0.06,25,0.03745318352
0.9737827715,-1.25,0.04,-0.05,,,,-1,0.05,26,0.03745318352
1.011235955,-0.95,-0.02,-0.04,,,,-1,0.04,27,0.03745318352
1.048689139,-1,-0.05,-0.04,,,,-1,0.04,28,0.03745318352
1.086142322,-1.12,0,-0.06,,,,-1,0.06,29,0.03745318352
1.123595506,-1.19,-0.04,-0.02,,,,-1,0.02,30,0.03745318352
1.161048689,-1.07,0.01,-0.01,,,,-1,0.01,31,0.03745318352
1.198501873,-1.23,-0.04,-0.08,,,,-1,0.08,32,0.03745318352
1.235955056,-1.11,0.01,0.03,,,,-1,-0.03,33,0.03745318352
1.27340824,-0.83,0,-0.08,,,,-1,0.08,34,0.03745318352
1.310861423,-1.2,-0.04,-0.11,,,,-1,0.11,35,0.03745318352
1.348314607,-1.02,-0.04,0,,,,-1,0,36,0.03745318352
1.38576779,-0.86,0.02,0,,,,-1,0,37,0.03745318352
1.423220974,-1,0.08,0.02,,,,-1,-0.02,38,0.03745318352
1.460674157,-1.05,0.04,-0.04,,,,-1,0.04,39,0.03745318352
1.498127341,-0.91,0,-0.01,,,,-1,0.01,40,0.03745318352
1.535580524,-1.24,-0.02,-0.06,,,,-1,0.06,41,0.03745318352
1.573033708,-1.32,-0.01,-0.03,,,,-1,0.03,42,0.03745318352
1.610486891,-1.27,0.01,-0.06,,,,-1,0.06,43,0.03745318352
1.647940075,-1.05,-0.02,-0.02,,,,-1,0.02,44,0.03745318352
1.685393258,-1.08,-0.08,-0.04,,,,-1,0.04,45,0.03745318352
1.722846442,-0.96,0,-0.03,,,,-1,0.03,46,0.03745318352
1.760299625,-1.03,-0.01,-0.01,,,,-1,0.01,47,0.03745318352
1.797752809,-1.33,-0.02,-0.02,,,,-1,0.02,48,0.03745318352
1.835205993,-0.86,0.04,-0.09,,,,-1,0.09,49,0.03745318352
1.872659176,-1.14,-0.05,-0.08,,,,-1,0.08,50,0.03745318352
1.91011236,-0.97,-0.02,0.01,,,,-1,-0.01,51,0.03745318352
1.947565543,-1.02,0.05,0.06,,,,-1,-0.06,52,0.03745318352
1.985018727,-0.99,-0.01,-0.04,,,,-1,0.04,53,0.03745318352
2.02247191,-1.18,0,-0.02,,,,-1,0.02,54,0.03745318352
2.059925094,-1.41,0.01,-0.03,,,,-1,0.03,55,0.03745318352
2.097378277,-0.83,-0.05,-0.06,,,,-1,0.06,56,0.03745318352
