Time,Xa,Ya,Za,,,,,,,,,,,
0.038167939,-0.11,-1.11,-0.51,,,,,,,,,,0.038167939,1
0.076335878,-0.07,-1.36,-0.27,,,,,,,,,,0.038167939,2
0.114503817,-0.14,-0.47,-0.43,,,,,,,,,,0.038167939,3
0.152671756,-0.14,-0.68,-0.3,,,,,,,,,,0.038167939,4
0.190839695,-0.16,0,-0.5,,,,,,,,,,0.038167939,5
0.229007634,-0.19,0,-0.5,,,,,,,,,,0.038167939,6
0.267175573,-0.19,0,-0.5,,,,,,,,,,0.038167939,7
0.305343511,-0.21,-0.48,-0.16,,,,,,,,,,0.038167939,8
0.34351145,-0.1,-0.96,-0.57,,,,,,,,,,0.038167939,9
0.381679389,-0.08,-0.27,-0.54,,,,,,,,,,0.038167939,10
0.419847328,-0.1,-1.54,-0.15,,,,,,,,,,0.038167939,11
0.458015267,-0.16,-0.81,-0.36,,,,,,,,,,0.038167939,12
0.496183206,-0.06,-0.88,-0.49,,,,,,,,,,0.038167939,13
0.534351145,-0.07,-1.26,-0.33,,,,,,,,,,0.038167939,14
0.572519084,-0.16,-0.26,-0.57,,,,,,,,,,0.038167939,15
0.610687023,-0.05,-1.46,-0.24,,,,,,,,,,0.038167939,16
0.648854962,-0.1,-0.94,-0.36,,,,,,,,,,0.038167939,17
0.687022901,-0.08,-1.04,-0.39,,,,,,,,,,0.038167939,18
0.72519084,-0.11,-1.02,-0.44,,,,,,,,,,0.038167939,19
0.763358779,-0.15,-0.53,-0.22,,,,,,,,,,0.038167939,20
0.801526718,-0.16,-0.66,-0.37,,,,,,,,,,0.038167939,21
0.839694656,-0.16,-0.77,-0.34,,,,,,,,,,0.038167939,22
0.877862595,-0.13,-0.49,-0.43,,,,,,,,,,0.038167939,23
0.916030534,-0.1,-1.71,-0.16,,,,,,,,,,0.038167939,24
0.954198473,-0.12,-0.75,-0.57,,,,,,,,,,0.038167939,25
0.992366412,-0.11,-0.91,-0.3,,,,,,,,,,0.038167939,26
1.030534351,-0.07,-1.4,-0.34,,,,,,,,,,0.038167939,27
1.06870229,-0.13,-0.76,-0.35,,,,,,,,,,0.038167939,28
1.106870229,-0.04,-0.89,-0.39,,,,,,,,,,0.038167939,29
1.145038168,-0.15,-0.71,-0.35,,,,,,,,,,0.038167939,30
1.183206107,-0.05,-1.82,-0.39,,,,,,,,,,0.038167939,31
1.221374046,-0.16,-0.68,-0.57,,,,,,,,,,0.038167939,32
1.259541985,-0.04,-1.46,-0.4,,,,,,,,,,0.038167939,33
1.297709924,-0.14,-0.94,-0.46,,,,,,,,,,0.038167939,34
1.335877863,-0.11,-1.13,-0.32,,,,,,,,,,0.038167939,35
1.374045802,-0.15,-0.77,-0.25,,,,,,,,,,0.038167939,36
1.41221374,-0.2,-0.6,-0.16,,,,,,,,,,0.038167939,37
1.450381679,-0.16,-0.58,-0.34,,,,,,,,,,0.038167939,38
1.488549618,-0.09,-0.85,-0.35,,,,,,,,,,0.038167939,39
1.526717557,-0.12,-0.94,-0.32,,,,,,,,,,0.038167939,40
1.564885496,-0.14,-0.73,-0.38,,,,,,,,,,0.038167939,41
1.603053435,-0.09,-0.84,-0.48,,,,,,,,,,0.038167939,42
1.641221374,-0.09,-1.37,-0.23,,,,,,,,,,0.038167939,43
1.679389313,-0.14,-0.69,-0.42,,,,,,,,,,0.038167939,44
1.717557252,-0.1,-1.02,-0.3,,,,,,,,,,0.038167939,45
1.755725191,-0.02,-1.86,-0.37,,,,,,,,,,0.038167939,46
1.79389313,-0.08,-1.03,-0.46,,,,,,,,,,0.038167939,47
1.832061069,-0.09,-1.27,-0.34,,,,,,,,,,0.038167939,48
1.870229008,-0.12,-1.27,-0.19,,,,,,,,,,0.038167939,49
1.908396947,-0.04,-1.45,-0.48,,,,,,,,,,0.038167939,50
1.946564885,-0.12,-0.96,-0.54,,,,,,,,,,0.038167939,51
1.984732824,-0.1,-1.79,-0.31,,,,,,,,,,0.038167939,52
2.022900763,-0.17,-1.04,-0.08,,,,,,,,,,0.038167939,53
2.061068702,-0.07,-1.23,-0.49,,,,,,,,,,0.038167939,54
2.099236641,-0.18,-0.86,-0.23,,,,,,,,,,0.038167939,55
2.13740458,-0.1,-1.82,-0.09,,,,,,,,,,0.038167939,56
2.175572519,-0.09,-0.66,-0.64,,,,,,,,,,0.038167939,57
2.213740458,-0.1,-0.62,-0.54,,,,,,,,,,0.038167939,58
2.251908397,-0.15,-0.86,-0.25,,,,,,,,,,0.038167939,59
2.290076336,-0.11,-0.7,-0.41,,,,,,,,,,0.038167939,60
2.328244275,-0.1,-1.35,-0.32,,,,,,,,,,0.038167939,61
2.366412214,-0.07,-0.68,-0.46,,,,,,,,,,0.038167939,62
2.404580153,-0.09,-1.07,-0.42,,,,,,,,,,0.038167939,63
2.442748092,-0.11,-1.29,-0.25,,,,,,,,,,0.038167939,64
2.480916031,-0.07,-0.96,-0.34,,,,,,,,,,0.038167939,65
2.519083969,-0.13,-0.62,-0.43,,,,,,,,,,0.038167939,66
2.557251908,-0.09,-1.43,-0.37,,,,,,,,,,0.038167939,67
2.595419847,-0.15,-0.51,-0.37,,,,,,,,,,0.038167939,68
2.633587786,-0.05,-1.67,-0.38,,,,,,,,,,0.038167939,69
2.671755725,-0.16,-0.14,-0.45,,,,,,,,,,0.038167939,70
2.709923664,-0.12,-0.84,-0.23,,,,,,,,,,0.038167939,71
2.748091603,-0.08,-1.33,-0.36,,,,,,,,,,0.038167939,72
2.786259542,-0.12,-0.59,-0.41,,,,,,,,,,0.038167939,73
2.824427481,-0.03,-1.35,-0.44,,,,,,,,,,0.038167939,74
2.86259542,-0.12,-0.51,-0.46,,,,,,,,,,0.038167939,75
2.900763359,-0.09,-1.27,-0.3,,,,,,,,,,0.038167939,76
2.938931298,-0.13,-0.92,-0.37,,,,,,,,,,0.038167939,77
2.977099237,-0.09,-1.12,-0.45,,,,,,,,,,0.038167939,78
3.015267176,-0.08,-1.45,-0.36,,,,,,,,,,0.038167939,79
3.053435115,-0.19,-0.07,-0.46,,,,,,,,,,0.038167939,80
3.091603053,-0.07,-1.47,-0.4,,,,,,,,,,0.038167939,81
3.129770992,-0.13,-0.91,-0.47,,,,,,,,,,0.038167939,82
3.167938931,-0.09,-0.46,-0.53,,,,,,,,,,0.038167939,83
3.20610687,-0.07,-1.21,-0.41,,,,,,,,,,0.038167939,84
3.244274809,-0.12,-0.97,-0.42,,,,,,,,,,0.038167939,85
3.282442748,-0.11,-1.19,-0.43,,,,,,,,,,0.038167939,86
3.320610687,-0.14,-0.96,-0.34,,,,,,,,,,0.038167939,87
3.358778626,-0.12,-0.81,-0.52,,,,,,,,,,0.038167939,88
3.396946565,-0.13,-1.13,-0.35,,,,,,,,,,0.038167939,89
3.435114504,-0.11,-0.96,-0.29,,,,,,,,,,0.038167939,90
3.473282443,-0.09,-1.19,-0.45,,,,,,,,,,0.038167939,91
3.511450382,-0.19,-0.46,-0.22,,,,,,,,,,0.038167939,92
3.549618321,-0.11,-1.1,-0.27,,,,,,,,,,0.038167939,93
3.58778626,-0.08,-1.38,-0.36,,,,,,,,,,0.038167939,94
3.625954198,-0.09,-0.97,-0.32,,,,,,,,,,0.038167939,95
3.664122137,-0.13,-0.81,-0.16,,,,,,,,,,0.038167939,96
3.702290076,-0.13,-1.41,-0.05,,,,,,,,,,0.038167939,97
3.740458015,-0.19,-0.42,-0.52,,,,,,,,,,0.038167939,98
3.778625954,-0.18,-0.32,-0.36,,,,,,,,,,0.038167939,99
3.816793893,-0.16,-0.7,-0.18,,,,,,,,,,0.038167939,100
3.854961832,-0.09,-0.65,-0.6,,,,,,,,,,0.038167939,101
3.893129771,-0.09,-1.34,-0.29,,,,,,,,,,0.038167939,102
3.93129771,-0.18,0.14,-0.2,,,,,,,,,,0.038167939,103
3.969465649,-0.03,-1.91,-0.39,,,,,,,,,,0.038167939,104
4.007633588,-0.14,-0.58,-0.45,,,,,,,,,,0.038167939,105
4.045801527,-0.11,-0.63,-0.7,,,,,,,,,,0.038167939,106
4.083969466,-0.11,-1.2,-0.29,,,,,,,,,,0.038167939,107
