  Ya= -0.95   Za= -0.21
Xa= -0.05   Ya= -1.06   Za= -0.17
Xa= 24
Xa= -0.12   Ya= -0.87   Za= -0.25
Xa= -0.09   Ya= -1.19   Za= -0.07
Xa= -0.73   Za= -0.23
Xa= -0.11   Ya= -0.96   Za= -0.24
Xa= -0.12   Ya= -0.87   Za= -0.25
Xa= -0.09   Ya= -1.19   Za= -0.07
Xa= -0.þXa= -0.06   Ya= -1.06   Za= -0.21
Xa= -0.09   Ya= -0.99   Za= -0.19
Xa= -0.09   Ya= -0.99   Za= -0.19
Xa= -0.04   Ya= -0.96   Za= -0.26
Xa= -0.12   Ya= -0.97   Za= -0.18
Xa= -0.05   Ya= -0.82   Za= -0.25
Xa= -0.08   Ya= -0.98   Za= -0.21
Xa= -0.10   Ya= -1.01   Za= -0.16
Xa= -0.09   Ya= -0.91   Za= -0.10
Xa= -0.13   Ya= -0.96   Za= -0.21
Xa= -0.07   Ya= -1.13   Za= -0.19
Xa= -0.14   Ya= -1.09   Za= -0.18
Xa= -0.15   Ya= -0.75   Za= -0.20
Xa= -0.12   Ya= -1.09   Za= -0.17
Xa= -0.12   Ya= -1.11   Za= -0.14
Xa= -0.12   Ya= -1.05   Za= -0.20
Xa= -0.11   Ya= -0.88   Za= -0.22
Xa= -0.06   Ya= -1.10   Za= -0.11
Xa= -0.14   Ya= -0.95   Za= -0.21
Xa= -0.09   Ya= -0.99   Za= -0.21
Xa= -0.12   Ya= -0.90   Za= -0.16
Xa= -0.14   Ya= -0.77   Za= -0.28
Xa= -0.17   Ya= -1.03   Za= -0.22
Xa= -0.14   Ya= -1.04   Za= -0.11
Xa= -0.08   Ya= -1.00   Za= -0.23
Xa= -0.16   Ya= -0.90   Za= -0.14
Xa= -0.07   Ya= -0.78   Za= -0.21
Xa= -0.11   Ya= -1.00   Za= -0.21
Xa= -0.16   Ya= -1.05   Za= -0.19
Xa= -0.13   Ya= -1.08   Za= -0.17
Xa= -0.04   Ya= -1.00   Za= -0.21
Xa= -0.12   Ya= -0.93   Za= -0.15
Xa= -0.07   Ya= -0.84   Za= -0.21
Xa= -0.06   Ya= -1.17   Za= -0.16
Xa= -0.08   Ya= -1.18   Za= -0.07
Xa= -0.07   Ya= -1.03   Za= -0.14
Xa= -0.11   Ya= -0.96   Za= -0.12
Xa= -0.16   Ya= -0.84   Za= -0.15
Xa= -0.11   Ya= -1.13   Za= -0.19
Xa= -0.09   Ya= -1.04   Za= -0.24
Xa= -0.12   Ya= -0.90   Za= -0.22
Xa= -0.12   Ya= -0.73   Za= -0.24
Xa= -0.08   Ya= -0.97   Za= -0.13
Xa= -0.12   Ya= -1.03   Za= -0.17
Xa= -0.09   Ya= -1.06   Za= -0.16
Xa= -0.11   Ya= -1.09   Za= -0.20
Xa= -0.09   Ya= -1.03   Za= -0.19
Xa= -0.11   Ya= -1.23   Za= -0.13
Xa= -0.11   Ya= -1.10   Za= -0.20
Xa= -0.12   Ya= -1.09   Za= -0.14
Xa= -0.04   Ya= -0.90   Za= -0.21
Xa= -0.02   Ya= -1.12   Za= -0.12
Xa= -0.13   Ya= -1.15   Za= -0.11
Xa= -0.07   Ya= -0.83   Za= -0.26
Xa= -0.11   Ya= -0.86   Za= -0.25
Xa= -0.03   Ya= -1.07   Za= -0.13
Xa= -0.09   Ya= -0.98   Za= -0.18
Xa= -0.12   Ya= -1.07   Za= -0.09
Xa= -0.14   Ya= -0.89   Za= -0.20
Xa= -0.12   Ya= -0.90   Za= -0.30
Xa= -0.14   Ya= -1.14   Za= -0.13
Xa= -0.12   Ya= -1.20   Za= -0.19
Xa= -0.14   Ya= -0.89   Za= -0.13
Xa= -0.11   Ya= -1.19   Za= -0.11
Xa= -0.16   Ya= -1.02   Za= -0.29
Xa= -0.10   Ya= -1.13   Za= -0.10
Xa= -0.15   Ya= -1.07   Za= -0.18
Xa= -0.13   Ya= -1.20   Za= -0.13
Xa= -0.05   Ya= -1.07   Za= -0.11
Xa= -0.04   Ya= -1.05   Za= -0.23
Xa= -0.13   Ya= -1.00   Za= -0.18
Xa= -0.13   Ya= -1.00   Za= -0.16
Xa= -0.12   Ya= -1.09   Za= -0.16
