Time,Xa,Ya,Za,,,,,,,,,,,
0.038387716,-0.05,-1.06,-0.17,,,,,,,,,,0.038387716,1
0.076775432,-0.12,-0.87,-0.25,,,,,,,,,,0.038387716,2
0.115163148,-0.09,-1.19,-0.07,,,,,,,,,,0.038387716,3
0.153550864,-0.11,-0.96,-0.24,,,,,,,,,,0.038387716,4
0.19193858,-0.12,-0.87,-0.25,,,,,,,,,,0.038387716,5
0.230326296,-0.09,-1.19,-0.07,,,,,,,,,,0.038387716,6
0.268714012,-0.06,-1.06,-0.21,,,,,,,,,,0.038387716,7
0.307101727,-0.09,-0.99,-0.19,,,,,,,,,,0.038387716,8
0.345489443,-0.09,-0.99,-0.19,,,,,,,,,,0.038387716,9
0.383877159,-0.04,-0.96,-0.26,,,,,,,,,,0.038387716,10
0.422264875,-0.12,-0.97,-0.18,,,,,,,,,,0.038387716,11
0.460652591,-0.05,-0.82,-0.25,,,,,,,,,,0.038387716,12
0.499040307,-0.08,-0.98,-0.21,,,,,,,,,,0.038387716,13
0.537428023,-0.1,-1.01,-0.16,,,,,,,,,,0.038387716,14
0.575815739,-0.09,-0.91,-0.1,,,,,,,,,,0.038387716,15
0.614203455,-0.13,-0.96,-0.21,,,,,,,,,,0.038387716,16
0.652591171,-0.07,-1.13,-0.19,,,,,,,,,,0.038387716,17
0.690978887,-0.14,-1.09,-0.18,,,,,,,,,,0.038387716,18
0.729366603,-0.15,-0.75,-0.2,,,,,,,,,,0.038387716,19
0.767754319,-0.12,-1.09,-0.17,,,,,,,,,,0.038387716,20
0.806142035,-0.12,-1.11,-0.14,,,,,,,,,,0.038387716,21
0.84452975,-0.12,-1.05,-0.2,,,,,,,,,,0.038387716,22
0.882917466,-0.11,-0.88,-0.22,,,,,,,,,,0.038387716,23
0.921305182,-0.06,-1.1,-0.11,,,,,,,,,,0.038387716,24
0.959692898,-0.14,-0.95,-0.21,,,,,,,,,,0.038387716,25
0.998080614,-0.09,-0.99,-0.21,,,,,,,,,,0.038387716,26
1.03646833,-0.12,-0.9,-0.16,,,,,,,,,,0.038387716,27
1.074856046,-0.14,-0.77,-0.28,,,,,,,,,,0.038387716,28
1.113243762,-0.17,-1.03,-0.22,,,,,,,,,,0.038387716,29
1.151631478,-0.14,-1.04,-0.11,,,,,,,,,,0.038387716,30
1.190019194,-0.08,-1,-0.23,,,,,,,,,,0.038387716,31
1.22840691,-0.16,-0.9,-0.14,,,,,,,,,,0.038387716,32
