Time,Xa,Ya,Za,,,,,,,,,,
0.037174721,-0.31,-1.08,-0.16,,,,,,,,,0.037174721,1
0.074349442,-0.12,-1.39,-0.17,,,,,,,,,0.037174721,2
0.111524164,-0.1,-0.89,-0.11,,,,,,,,,0.037174721,3
0.148698885,-0.11,-1.46,-0.21,,,,,,,,,0.037174721,4
0.185873606,-0.11,-1.46,-0.21,,,,,,,,,0.037174721,5
0.223048327,-0.07,-1.05,-0.22,,,,,,,,,0.037174721,6
0.260223048,-0.32,-1.88,-0.14,,,,,,,,,0.037174721,7
0.29739777,-0.07,-0.39,-0.31,,,,,,,,,0.037174721,8
0.334572491,-0.37,-1.13,-0.12,,,,,,,,,0.037174721,9
0.371747212,-0.1,-0.93,-0.19,,,,,,,,,0.037174721,10
0.408921933,-0.17,-1.75,-0.06,,,,,,,,,0.037174721,11
0.446096654,-0.39,-0.99,-0.43,,,,,,,,,0.037174721,12
0.483271375,-0.12,-1.21,-0.21,,,,,,,,,0.037174721,13
0.520446097,-0.17,-1.27,-0.25,,,,,,,,,0.037174721,14
0.557620818,-0.23,-0.91,-0.28,,,,,,,,,0.037174721,15
0.594795539,-0.17,-1.41,-0.22,,,,,,,,,0.037174721,16
0.63197026,-0.25,-0.59,-0.23,,,,,,,,,0.037174721,17
0.669144981,-0.23,-0.78,-0.31,,,,,,,,,0.037174721,18
0.706319703,-0.32,-0.48,-0.15,,,,,,,,,0.037174721,19
0.743494424,-0.04,-1.29,-0.24,,,,,,,,,0.037174721,20
0.780669145,-0.4,-0.89,-0.19,,,,,,,,,0.037174721,21
0.817843866,-0.11,-1.76,-0.13,,,,,,,,,0.037174721,22
0.855018587,-0.05,-1.22,-0.28,,,,,,,,,0.037174721,23
0.892193309,-0.3,-0.85,-0.27,,,,,,,,,0.037174721,24
0.92936803,-0.33,-0.63,-0.21,,,,,,,,,0.037174721,25
0.966542751,-0.18,-0.42,-0.34,,,,,,,,,0.037174721,26
1.003717472,-0.21,-1.13,-0.22,,,,,,,,,0.037174721,27
1.040892193,-0.14,-0.49,-0.34,,,,,,,,,0.037174721,28
1.078066914,-0.11,-1.17,-0.27,,,,,,,,,0.037174721,29
1.115241636,-0.29,-1.35,-0.3,,,,,,,,,0.037174721,30
1.152416357,-0.08,-0.68,-0.25,,,,,,,,,0.037174721,31
1.189591078,-0.23,-1.28,-0.16,,,,,,,,,0.037174721,32
1.226765799,-0.29,-0.64,-0.14,,,,,,,,,0.037174721,33
1.26394052,-0.08,-1.39,-0.12,,,,,,,,,0.037174721,34
1.301115242,-0.14,-1.16,-0.3,,,,,,,,,0.037174721,35
1.338289963,-0.11,-1.17,-0.2,,,,,,,,,0.037174721,36
1.375464684,-0.24,-1.29,-0.18,,,,,,,,,0.037174721,37
1.412639405,-0.3,-0.52,-0.22,,,,,,,,,0.037174721,38
1.449814126,-0.17,-1.14,-0.15,,,,,,,,,0.037174721,39
1.486988848,-0.27,-1.01,-0.23,,,,,,,,,0.037174721,40
1.524163569,-0.11,-1.3,-0.01,,,,,,,,,0.037174721,41
1.56133829,-0.1,-1.65,-0.03,,,,,,,,,0.037174721,42
1.598513011,-0.26,-0.93,-0.11,,,,,,,,,0.037174721,43
1.635687732,-0.3,-1.05,-0.24,,,,,,,,,0.037174721,44
1.672862454,-0.11,-0.73,-0.23,,,,,,,,,0.037174721,45
1.710037175,-0.13,-0.38,-0.06,,,,,,,,,0.037174721,46
1.747211896,-0.15,-1.42,-0.25,,,,,,,,,0.037174721,47
