time ,Xa,Ya,Za,,,,
0.03236245955,0.07,0.2,0.68,,,1,0.03236245955
0.06472491909,0.08,0.23,0.84,,,2,0.03236245955
0.09708737864,0.04,0.22,0.68,,,3,0.03236245955
0.1294498382,0.2,0.33,0.83,,,4,0.03236245955
0.1618122977,0.14,0.25,0.5,,,5,0.03236245955
0.1941747573,0.04,0.28,0.91,,,6,0.03236245955
0.2265372168,0.08,0.29,1.15,,,7,0.03236245955
0.2588996764,-0.01,0.24,0.68,,,8,0.03236245955
0.2912621359,0.08,0.3,0.65,,,9,0.03236245955
0.3236245955,0.03,0.3,0.97,,,10,0.03236245955
0.355987055,0.09,0.34,1.06,,,11,0.03236245955
0.3883495146,0.12,0.28,1,,,12,0.03236245955
0.4207119741,-0.01,0.22,0.95,,,13,0.03236245955
0.4530744337,0,0.14,0.82,,,14,0.03236245955
0.4854368932,0,0.27,0.88,,,15,0.03236245955
0.5177993528,0.09,0.27,0.66,,,16,0.03236245955
0.5501618123,0.02,0.24,0.87,,,17,0.03236245955
0.5825242718,0.11,0.27,1.22,,,18,0.03236245955
0.6148867314,0.03,0.27,0.84,,,19,0.03236245955
0.6472491909,0.11,0.29,0.95,,,20,0.03236245955
0.6796116505,0.13,0.12,0.55,,,21,0.03236245955
0.71197411,0.01,0.19,0.96,,,22,0.03236245955
0.7443365696,0.13,0.21,0.98,,,23,0.03236245955
0.7766990291,-0.02,0.28,0.93,,,24,0.03236245955
0.8090614887,0.1,0.16,0.85,,,25,0.03236245955
0.8414239482,-0.05,0.18,1.12,,,26,0.03236245955
0.8737864078,0.02,0.24,0.9,,,27,0.03236245955
0.9061488673,0.11,0.3,1.05,,,28,0.03236245955
0.9385113269,0.12,0.26,0.52,,,29,0.03236245955
0.9708737864,0.12,0.4,1.12,,,30,0.03236245955
1.003236246,0.06,0.16,0.81,,,31,0.03236245955
1.035598706,0.05,0.12,0.69,,,32,0.03236245955
1.067961165,0.05,0.12,0.79,,,33,0.03236245955
1.100323625,0.05,0.25,0.77,,,34,0.03236245955
1.132686084,0.16,0.28,0.93,,,35,0.03236245955
1.165048544,0.12,0.3,1.15,,,36,0.03236245955
1.197411003,0.01,0.32,0.84,,,37,0.03236245955
1.229773463,0.07,0.22,0.82,,,38,0.03236245955
1.262135922,0.08,0.14,0.88,,,39,0.03236245955
1.294498382,-0.02,0.29,0.71,,,40,0.03236245955
1.326860841,0.04,0.29,1,,,41,0.03236245955
1.359223301,0,0.26,1.02,,,42,0.03236245955
1.391585761,0.01,0.17,0.84,,,43,0.03236245955
1.42394822,0,0.26,0.98,,,44,0.03236245955
1.45631068,0.02,0.07,0.58,,,45,0.03236245955
1.488673139,0.01,0.16,1.03,,,46,0.03236245955
1.521035599,0.05,0.26,1.01,,,47,0.03236245955
1.553398058,0.09,0.28,0.73,,,48,0.03236245955
1.585760518,0.07,0.34,1.02,,,49,0.03236245955
1.618122977,0.03,0.25,0.7,,,50,0.03236245955
1.650485437,0.05,0.22,0.83,,,51,0.03236245955
1.682847896,0,0.27,1.36,,,52,0.03236245955
1.715210356,-0.02,0.29,0.77,,,53,0.03236245955
1.747572816,0.1,0.17,0.55,,,54,0.03236245955
1.779935275,-0.02,0.35,1.02,,,55,0.03236245955
1.812297735,0,0.14,0.86,,,56,0.03236245955
1.844660194,0.02,0.2,0.71,,,57,0.03236245955
1.877022654,-0.06,0.25,0.64,,,58,0.03236245955
1.909385113,0.02,0.17,0.6,,,59,0.03236245955
1.941747573,0.1,0.3,0.96,,,60,0.03236245955
1.974110032,0.01,0.2,0.84,,,61,0.03236245955
2.006472492,0.06,0.31,1,,,62,0.03236245955
2.038834951,0.12,0.2,0.84,,,63,0.03236245955
2.071197411,0.04,0.29,0.71,,,64,0.03236245955
2.103559871,0.09,0.22,0.77,,,65,0.03236245955
2.13592233,-0.07,0.23,0.91,,,66,0.03236245955
2.16828479,0.04,0.19,0.81,,,67,0.03236245955
2.200647249,0.04,0.28,0.8,,,68,0.03236245955
2.233009709,0.11,0.32,1.09,,,69,0.03236245955
2.265372168,0.15,0.17,0.83,,,70,0.03236245955
2.297734628,0.04,0.14,0.9,,,71,0.03236245955
2.330097087,0.06,0.3,0.77,,,72,0.03236245955
2.362459547,0.05,0.26,0.94,,,73,0.03236245955
2.394822006,0.09,0.36,1.04,,,74,0.03236245955
2.427184466,0.07,0.32,0.87,,,75,0.03236245955
2.459546926,0.07,0.23,0.81,,,76,0.03236245955
2.491909385,0,0.39,1.33,,,77,0.03236245955
2.524271845,0.08,0.17,0.95,,,78,0.03236245955
2.556634304,0.05,0.2,0.9,,,79,0.03236245955
2.588996764,0.16,0.21,0.79,,,80,0.03236245955
2.621359223,0.14,0.35,0.86,,,81,0.03236245955
2.653721683,0.1,0.14,0.86,,,82,0.03236245955
2.686084142,0.01,0.23,0.68,,,83,0.03236245955
2.718446602,-0.02,0.21,0.58,,,84,0.03236245955
2.750809061,0,0.31,1.02,,,85,0.03236245955
2.783171521,0.11,0.29,1.17,,,86,0.03236245955
2.815533981,0.03,0.26,0.92,,,87,0.03236245955
2.84789644,0.11,0.21,0.85,,,88,0.03236245955
2.8802589,0.08,0.2,1.23,,,89,0.03236245955
2.912621359,0.06,0.27,0.88,,,90,0.03236245955
2.944983819,0.09,0.26,1.14,,,91,0.03236245955
2.977346278,-0.01,0.35,1.02,,,92,0.03236245955
3.009708738,0,0.18,0.59,,,93,0.03236245955
3.042071197,0.1,0.15,0.64,,,94,0.03236245955
3.074433657,-0.03,0.2,0.95,,,95,0.03236245955
3.106796117,0.02,0.15,0.7,,,96,0.03236245955
3.139158576,0.02,0.18,0.74,,,97,0.03236245955
3.171521036,0.06,0.25,0.76,,,98,0.03236245955
3.203883495,0.11,0.25,0.65,,,99,0.03236245955
3.236245955,0.18,0.29,0.94,,,100,0.03236245955
3.268608414,0.07,0.22,0.77,,,101,0.03236245955
3.300970874,0,0.2,0.94,,,102,0.03236245955
3.333333333,0.04,0.33,1.26,,,103,0.03236245955
3.365695793,0,0.27,0.86,,,104,0.03236245955
3.398058252,0.15,0.23,0.66,,,105,0.03236245955
3.430420712,-0.03,0.32,0.95,,,106,0.03236245955
3.462783172,0.01,0.18,0.91,,,107,0.03236245955
3.495145631,0.09,0.14,0.64,,,108,0.03236245955
3.527508091,-0.03,0.21,0.87,,,109,0.03236245955
3.55987055,0.07,0.2,0.96,,,110,0.03236245955
3.59223301,0.07,0.23,0.82,,,111,0.03236245955
3.624595469,-0.02,0.24,0.73,,,112,0.03236245955
3.656957929,0.07,0.32,0.84,,,113,0.03236245955
3.689320388,0.04,0.25,1.04,,,114,0.03236245955
3.721682848,0.09,0.17,0.92,,,115,0.03236245955
3.754045307,-0.01,0.14,0.64,,,116,0.03236245955
3.786407767,0.09,0.27,0.77,,,117,0.03236245955
3.818770227,0.11,0.22,0.62,,,118,0.03236245955
3.851132686,-0.02,0.29,0.89,,,119,0.03236245955
3.883495146,0.07,0.22,0.61,,,120,0.03236245955
3.915857605,0.07,0.14,0.71,,,121,0.03236245955
3.948220065,0.07,0.09,0.73,,,122,0.03236245955
3.980582524,0.13,-0.01,0.5,,,123,0.03236245955
4.012944984,0.08,0.3,1.01,,,124,0.03236245955
4.045307443,0.13,0.2,1.02,,,125,0.03236245955
4.077669903,-0.02,0.26,1.02,,,126,0.03236245955
4.110032362,0.06,0.32,1.07,,,127,0.03236245955
4.142394822,0.04,0.25,0.73,,,128,0.03236245955
4.174757282,0.12,0.37,1.12,,,129,0.03236245955
4.207119741,0.11,0.21,0.85,,,130,0.03236245955
4.239482201,0,0.36,1.48,,,131,0.03236245955
4.27184466,0,0.21,0.54,,,132,0.03236245955
4.30420712,0,0.18,0.79,,,133,0.03236245955
4.336569579,0.11,0.16,0.8,,,134,0.03236245955
4.368932039,0.06,0.14,0.49,,,135,0.03236245955
4.401294498,0.02,0.07,0.79,,,136,0.03236245955
4.433656958,0.02,0.06,0.69,,,137,0.03236245955
4.466019417,0.06,0.3,0.97,,,138,0.03236245955
4.498381877,0.07,0.26,1.08,,,139,0.03236245955
4.530744337,0.11,0.27,0.79,,,140,0.03236245955
