time,Xa,Ya,Za,,,,
0.03222341568,0.08,0.59,1.2,,,1,0.03222341568
0.06444683136,0.1,0.55,0.84,,,2,0.03222341568
0.09667024705,0.11,0.55,0.71,,,3,0.03222341568
0.1288936627,0.09,0.52,0.93,,,4,0.03222341568
0.1611170784,0.12,0.5,0.54,,,5,0.03222341568
0.1933404941,0.1,0.52,0.84,,,6,0.03222341568
0.2255639098,0.08,0.43,0.62,,,7,0.03222341568
0.2577873255,0.09,0.37,0.59,,,8,0.03222341568
0.2900107411,0.09,0.39,0.59,,,9,0.03222341568
0.3222341568,0.09,0.32,0.29,,,10,0.03222341568
0.3544575725,0.1,0.41,0.53,,,11,0.03222341568
0.3866809882,0.06,0.37,0.6,,,12,0.03222341568
0.4189044039,0.11,0.64,1.03,,,13,0.03222341568
0.4511278195,0.09,0.54,0.86,,,14,0.03222341568
0.4833512352,0.08,0.52,0.94,,,15,0.03222341568
0.5155746509,0.09,0.56,1,,,16,0.03222341568
0.5477980666,0.1,0.52,0.9,,,17,0.03222341568
0.5800214823,0.1,0.48,0.5,,,18,0.03222341568
0.612244898,0.11,0.47,0.47,,,19,0.03222341568
0.6444683136,0.1,0.48,0.4,,,20,0.03222341568
0.6766917293,0.07,0.5,0.95,,,21,0.03222341568
0.708915145,0.09,0.52,0.92,,,22,0.03222341568
0.7411385607,0.08,0.42,0.56,,,23,0.03222341568
0.7733619764,0.08,0.39,0.7,,,24,0.03222341568
0.8055853921,0.09,0.49,0.84,,,25,0.03222341568
0.8378088077,0.1,0.54,1.11,,,26,0.03222341568
0.8700322234,0.09,0.41,0.37,,,27,0.03222341568
0.9022556391,0.09,0.52,1,,,28,0.03222341568
0.9344790548,0.11,0.51,0.68,,,29,0.03222341568
0.9667024705,0.09,0.38,0.37,,,30,0.03222341568
0.9989258861,0.11,0.5,0.75,,,31,0.03222341568
1.031149302,0.09,0.51,0.85,,,32,0.03222341568
1.063372718,0.1,0.46,0.36,,,33,0.03222341568
1.095596133,0.11,0.56,0.77,,,34,0.03222341568
