Time ,Xa,Ya,Za,,,,,,
0.03663003663,-1.07,0.18,0.01,,,-0.01,-1,1,0.03663003663
0.07326007326,-0.99,0.14,0,,,0,-1,2,0.03663003663
0.1098901099,-1.01,0.23,0.03,,,-0.03,-1,3,0.03663003663
0.1465201465,-0.99,0.13,0,,,0,-1,4,0.03663003663
0.1831501832,-0.99,0.14,-0.01,,,0.01,-1,5,0.03663003663
0.2197802198,-1.01,0.23,0.03,,,-0.03,-1,6,0.03663003663
0.2564102564,-0.99,0.13,0,,,0,-1,7,0.03663003663
0.293040293,-1.03,0.12,0,,,0,-1,8,0.03663003663
0.3296703297,-1.03,0.12,0,,,0,-1,9,0.03663003663
0.3663003663,-1.03,0.12,0,,,0,-1,10,0.03663003663
0.4029304029,-0.97,0.14,0.01,,,-0.01,-1,11,0.03663003663
0.4395604396,-1.01,0.17,0,,,0,-1,12,0.03663003663
0.4761904762,-1.09,0.16,0.01,,,-0.01,-1,13,0.03663003663
0.5128205128,-1.09,0.22,0.04,,,-0.04,-1,14,0.03663003663
0.5494505495,-1.12,0.2,0.02,,,-0.02,-1,15,0.03663003663
0.5860805861,-1.03,0.18,0.02,,,-0.02,-1,16,0.03663003663
0.6227106227,-1.08,0.21,0.01,,,-0.01,-1,17,0.03663003663
0.6593406593,-1.03,0.2,0.03,,,-0.03,-1,18,0.03663003663
0.695970696,-1.01,0.23,0.04,,,-0.04,-1,19,0.03663003663
0.7326007326,-1.01,0.16,0.01,,,-0.01,-1,20,0.03663003663
0.7692307692,-1.05,0.14,0,,,0,-1,21,0.03663003663
0.8058608059,-1.13,0.23,0.03,,,-0.03,-1,22,0.03663003663
0.8424908425,-1.03,0.19,0.02,,,-0.02,-1,23,0.03663003663
0.8791208791,-0.98,0.18,0.02,,,-0.02,-1,24,0.03663003663
0.9157509158,-0.96,0.16,0.02,,,-0.02,-1,25,0.03663003663
0.9523809524,-1.06,0.12,-0.01,,,0.01,-1,26,0.03663003663
0.989010989,-1.12,0.27,0.04,,,-0.04,-1,27,0.03663003663
1.025641026,-1.03,0.19,0.02,,,-0.02,-1,28,0.03663003663
1.062271062,-1.04,0.14,0,,,0,-1,29,0.03663003663
1.098901099,-1.11,0.27,0.03,,,-0.03,-1,30,0.03663003663
1.135531136,-1.03,0.15,0.02,,,-0.02,-1,31,0.03663003663
1.172161172,-1.07,0.21,0.03,,,-0.03,-1,32,0.03663003663
1.208791209,-1.02,0.21,0.03,,,-0.03,-1,33,0.03663003663
1.245421245,-1.05,0.18,0.02,,,-0.02,-1,34,0.03663003663
1.282051282,-1,0.25,0.04,,,-0.04,-1,35,0.03663003663
1.318681319,-0.99,0.16,0.02,,,-0.02,-1,36,0.03663003663
1.355311355,-1.03,0.19,0.01,,,-0.01,-1,37,0.03663003663
1.391941392,-1,0.21,0.03,,,-0.03,-1,38,0.03663003663
1.428571429,-1.04,0.1,-0.02,,,0.02,-1,39,0.03663003663
1.465201465,-1.1,0.27,0.03,,,-0.03,-1,40,0.03663003663
1.501831502,-1.13,0.19,0.01,,,-0.01,-1,41,0.03663003663
1.538461538,-1.05,0.17,0.01,,,-0.01,-1,42,0.03663003663
1.575091575,-1.04,0.21,0.02,,,-0.02,-1,43,0.03663003663
1.611721612,-1.01,0.17,0.02,,,-0.02,-1,44,0.03663003663
1.648351648,-0.98,0.21,0.03,,,-0.03,-1,45,0.03663003663
1.684981685,-1,0.13,0,,,0,-1,46,0.03663003663
1.721611722,-1.08,0.2,0.02,,,-0.02,-1,47,0.03663003663
1.758241758,-1.01,0.21,0.03,,,-0.03,-1,48,0.03663003663
