time,Xa,Ya,Za,,,,,,
0.04705882353,-0.97,0.24,0.03,,,-0.03,-1,1,0.04705882353
0.09411764706,-0.97,0.24,0.03,,,-0.03,-1,2,0.04705882353
0.1411764706,-0.97,0.24,0.03,,,-0.03,-1,3,0.04705882353
0.1882352941,-0.96,0.22,0.05,,,-0.05,-1,4,0.04705882353
0.2352941176,-0.93,0.15,0.05,,,-0.05,-1,5,0.04705882353
0.2823529412,-1.09,0.13,0.01,,,-0.01,-1,6,0.04705882353
0.3294117647,-1.04,0.13,0.02,,,-0.02,-1,7,0.04705882353
0.3764705882,-1.09,0.2,0.01,,,-0.01,-1,8,0.04705882353
0.4235294118,-1,0.21,0.02,,,-0.02,-1,9,0.04705882353
0.4705882353,-1.05,0.21,0.02,,,-0.02,-1,10,0.04705882353
0.5176470588,-1,0.2,0.03,,,-0.03,-1,11,0.04705882353
0.5647058824,-1.09,0.12,0,,,0,-1,12,0.04705882353
0.6117647059,-1.23,0.16,0,,,0,-1,13,0.04705882353
0.6588235294,-1.16,0.15,0,,,0,-1,14,0.04705882353
0.7058823529,-1.16,0.17,0,,,0,-1,15,0.04705882353
0.7529411765,-1.04,0.23,0.02,,,-0.02,-1,16,0.04705882353
0.8,-1,0.23,0.03,,,-0.03,-1,17,0.04705882353
0.8470588235,-0.91,0.24,0.04,,,-0.04,-1,18,0.04705882353
0.8941176471,-0.94,0.22,0.02,,,-0.02,-1,19,0.04705882353
0.9411764706,-0.91,0.17,0.04,,,-0.04,-1,20,0.04705882353
0.9882352941,-1.01,0.18,0.02,,,-0.02,-1,21,0.04705882353
1.035294118,-1.06,0.19,0.04,,,-0.04,-1,22,0.04705882353
1.082352941,-1.03,0.19,0.04,,,-0.04,-1,23,0.04705882353
1.129411765,-1.03,0.13,0.02,,,-0.02,-1,24,0.04705882353
1.176470588,-1.08,0.08,0.01,,,-0.01,-1,25,0.04705882353
1.223529412,-1.16,0.12,0,,,0,-1,26,0.04705882353
1.270588235,-1.16,0.16,0,,,0,-1,27,0.04705882353
1.317647059,-1.15,0.2,-0.02,,,0.02,-1,28,0.04705882353
1.364705882,-1.01,0.23,0.03,,,-0.03,-1,29,0.04705882353
1.411764706,-1,0.25,0.04,,,-0.04,-1,30,0.04705882353
1.458823529,-0.9,0.17,0.05,,,-0.05,-1,31,0.04705882353
1.505882353,-0.94,0.19,0.04,,,-0.04,-1,32,0.04705882353
1.552941176,-1,0.08,-0.02,,,0.02,-1,33,0.04705882353
1.6,-1.16,0.17,0,,,0,-1,34,0.04705882353
1.647058824,-1.09,0.25,0.03,,,-0.03,-1,35,0.04705882353
1.694117647,-1,0.22,0.02,,,-0.02,-1,36,0.04705882353
1.741176471,-1.01,0.25,0.04,,,-0.04,-1,37,0.04705882353
1.788235294,-0.9,0.27,0.09,,,-0.09,-1,38,0.04705882353
1.835294118,-1.02,0.16,0.02,,,-0.02,-1,39,0.04705882353
1.882352941,-1,0.12,0,,,0,-1,40,0.04705882353
1.929411765,-1.11,0.13,-0.01,,,0.01,-1,41,0.04705882353
1.976470588,-1.11,0.16,0.03,,,-0.03,-1,42,0.04705882353
2.023529412,-1.15,0.1,-0.02,,,0.02,-1,43,0.04705882353
2.070588235,-1.14,0.14,-0.03,,,0.03,-1,44,0.04705882353
2.117647059,-1.13,0.26,0.03,,,-0.03,-1,45,0.04705882353
2.164705882,-0.94,0.27,0.05,,,-0.05,-1,46,0.04705882353
