time,Xa,Ya,Za,,,,,,,,
0.03669724771,-1.1,0.21,0.03,,,,,-1,-0.03,1,0.03669724771
0.07339449541,-0.98,0.21,0.03,,,,,-1,-0.03,2,0.03669724771
0.1100917431,-1,0.18,0.04,,,,,-1,-0.04,3,0.03669724771
0.1467889908,-1.05,0.19,0.03,,,,,-1,-0.03,4,0.03669724771
0.1834862385,-1.05,0.19,-0.03,,,,,-1,0.03,5,0.03669724771
0.2201834862,-1.05,0.19,-0.03,,,,,-1,0.03,6,0.03669724771
0.2568807339,-1.05,0.18,0.02,,,,,-1,-0.02,7,0.03669724771
0.2935779817,-1.04,0.16,-0.02,,,,,-1,0.02,8,0.03669724771
0.3302752294,-1.14,0.28,0.02,,,,,-1,-0.02,9,0.03669724771
0.3669724771,-0.9,0.23,0.02,,,,,-1,-0.02,10,0.03669724771
0.4036697248,-1.1,0.17,0.01,,,,,-1,-0.01,11,0.03669724771
0.4403669725,-0.85,0.18,0.04,,,,,-1,-0.04,12,0.03669724771
0.4770642202,-1.08,0.18,0.02,,,,,-1,-0.02,13,0.03669724771
0.5137614679,-1.07,0.11,-0.02,,,,,-1,0.02,14,0.03669724771
0.5504587156,-0.98,0.18,0.02,,,,,-1,-0.02,15,0.03669724771
0.5871559633,-1.18,0.21,0.05,,,,,-1,-0.05,16,0.03669724771
0.623853211,-1.28,0.25,0.01,,,,,-1,-0.01,17,0.03669724771
0.6605504587,-0.9,0.16,0.04,,,,,-1,-0.04,18,0.03669724771
0.6972477064,-1.04,0.18,-0.01,,,,,-1,0.01,19,0.03669724771
0.7339449541,-1.05,0.17,0.04,,,,,-1,-0.04,20,0.03669724771
0.7706422018,-1.01,0.24,0.01,,,,,-1,-0.01,21,0.03669724771
0.8073394495,-0.98,0.13,0.02,,,,,-1,-0.02,22,0.03669724771
0.8440366972,-1.03,0.21,0,,,,,-1,0,23,0.03669724771
0.880733945,-0.98,0.21,0.04,,,,,-1,-0.04,24,0.03669724771
0.9174311927,-1,0.13,-0.01,,,,,-1,0.01,25,0.03669724771
0.9541284404,-0.93,0.24,0.03,,,,,-1,-0.03,26,0.03669724771
0.9908256881,-1.16,0.2,-0.01,,,,,-1,0.01,27,0.03669724771
1.027522936,-1,0.17,-0.01,,,,,-1,0.01,28,0.03669724771
1.064220183,-1.1,0.21,0,,,,,-1,0,29,0.03669724771
1.100917431,-1.03,0.2,0.04,,,,,-1,-0.04,30,0.03669724771
1.137614679,-0.97,0.18,0.02,,,,,-1,-0.02,31,0.03669724771
1.174311927,-1.05,0.19,0.04,,,,,-1,-0.04,32,0.03669724771
1.211009174,-1.07,0.23,0.03,,,,,-1,-0.03,33,0.03669724771
1.247706422,-1.04,0.3,0.04,,,,,-1,-0.04,34,0.03669724771
1.28440367,-0.96,0.17,0.03,,,,,-1,-0.03,35,0.03669724771
1.321100917,-1.09,0.22,0.02,,,,,-1,-0.02,36,0.03669724771
1.357798165,-1.07,0.16,0.01,,,,,-1,-0.01,37,0.03669724771
1.394495413,-0.93,0.21,0.02,,,,,-1,-0.02,38,0.03669724771
1.431192661,-1.16,0.21,0.02,,,,,-1,-0.02,39,0.03669724771
1.467889908,-1.14,0.22,0,,,,,-1,0,40,0.03669724771
1.504587156,-0.95,0.21,0.04,,,,,-1,-0.04,41,0.03669724771
1.541284404,-1.19,0.16,0.01,,,,,-1,-0.01,42,0.03669724771
1.577981651,-1.09,0.18,0,,,,,-1,0,43,0.03669724771
1.614678899,-1.01,0.14,0.01,,,,,-1,-0.01,44,0.03669724771
1.651376147,-1.06,0.22,0,,,,,-1,0,45,0.03669724771
1.688073394,-1.03,0.2,0.02,,,,,-1,-0.02,46,0.03669724771
1.724770642,-0.88,0.23,0.05,,,,,-1,-0.05,47,0.03669724771
1.76146789,-1.09,0.17,0.02,,,,,-1,-0.02,48,0.03669724771
1.798165138,-0.94,0.17,0.02,,,,,-1,-0.02,49,0.03669724771
1.834862385,-0.76,0.13,0.02,,,,,-1,-0.02,50,0.03669724771
1.871559633,-1.06,0.22,0,,,,,-1,0,51,0.03669724771
1.908256881,-0.94,0.2,0.01,,,,,-1,-0.01,52,0.03669724771
1.944954128,-1.06,0.16,0.02,,,,,-1,-0.02,53,0.03669724771
1.981651376,-1.09,0.23,0.01,,,,,-1,-0.01,54,0.03669724771
2.018348624,-1.12,0.12,-0.02,,,,,-1,0.02,55,0.03669724771
2.055045872,-1.01,0.16,0,,,,,-1,0,56,0.03669724771
2.091743119,-1.06,0.2,0.02,,,,,-1,-0.02,57,0.03669724771
2.128440367,-1.03,0.22,-0.02,,,,,-1,0.02,58,0.03669724771
2.165137615,-1.09,0.12,-0.02,,,,,-1,0.02,59,0.03669724771
2.201834862,-1.13,0.19,0,,,,,-1,0,60,0.03669724771
2.23853211,-1.1,0.2,0.02,,,,,-1,-0.02,61,0.03669724771
2.275229358,-0.97,0.22,0.01,,,,,-1,-0.01,62,0.03669724771
2.311926606,-1.11,0.21,0,,,,,-1,0,63,0.03669724771
2.348623853,-0.89,0.18,0,,,,,-1,0,64,0.03669724771
2.385321101,-1.03,0.18,0.01,,,,,-1,-0.01,65,0.03669724771
