,time,Xa,Ya,Za,,,,,,,
,0.03731343284,-1.07,0.29,0.01,,,,-1,-0.01,1,0.03731343284
,0.07462686567,-1.07,0.29,0.01,,,,-1,-0.01,2,0.03731343284
,0.1119402985,-1.02,0.29,0.03,,,,-1,-0.03,3,0.03731343284
,0.1492537313,-1.1,0.34,0.04,,,,-1,-0.04,4,0.03731343284
,0.1865671642,-0.95,0.29,0.05,,,,-1,-0.05,5,0.03731343284
,0.223880597,-1.07,0.34,0.04,,,,-1,-0.04,6,0.03731343284
,0.2611940299,-0.94,0.34,0.07,,,,-1,-0.07,7,0.03731343284
,0.2985074627,-0.91,0.33,0.06,,,,-1,-0.06,8,0.03731343284
,0.3358208955,-1.07,0.36,0.05,,,,-1,-0.05,9,0.03731343284
,0.3731343284,-0.95,0.35,0.07,,,,-1,-0.07,10,0.03731343284
,0.4104477612,-1.02,0.3,0.04,,,,-1,-0.04,11,0.03731343284
,0.447761194,-1.12,0.31,0.02,,,,-1,-0.02,12,0.03731343284
,0.4850746269,-0.97,0.38,0.07,,,,-1,-0.07,13,0.03731343284
,0.5223880597,-1,0.32,0.03,,,,-1,-0.03,14,0.03731343284
,0.5597014925,-1.05,0.31,0.04,,,,-1,-0.04,15,0.03731343284
,0.5970149254,-1.08,0.29,0.01,,,,-1,-0.01,16,0.03731343284
,0.6343283582,-1.07,0.29,0.04,,,,-1,-0.04,17,0.03731343284
,0.671641791,-0.99,0.34,0.06,,,,-1,-0.06,18,0.03731343284
,0.7089552239,-1.06,0.32,0.04,,,,-1,-0.04,19,0.03731343284
,0.7462686567,-0.93,0.28,0.06,,,,-1,-0.06,20,0.03731343284
,0.7835820896,-0.88,0.44,0.12,,,,-1,-0.12,21,0.03731343284
,0.8208955224,-1.09,0.32,0.05,,,,-1,-0.05,22,0.03731343284
,0.8582089552,-0.99,0.31,0.05,,,,-1,-0.05,23,0.03731343284
,0.8955223881,-1.03,0.35,0.06,,,,-1,-0.06,24,0.03731343284
,0.9328358209,-1.08,0.33,0.04,,,,-1,-0.04,25,0.03731343284
,0.9701492537,-0.94,0.3,0.04,,,,-1,-0.04,26,0.03731343284
,1.007462687,-1.14,0.37,0.05,,,,-1,-0.05,27,0.03731343284
,1.044776119,-1.04,0.34,0.04,,,,-1,-0.04,28,0.03731343284
,1.082089552,-1.01,0.33,0.05,,,,-1,-0.05,29,0.03731343284
,1.119402985,-1.07,0.34,0.05,,,,-1,-0.05,30,0.03731343284
,1.156716418,-0.94,0.25,0.04,,,,-1,-0.04,31,0.03731343284
,1.194029851,-1.07,0.34,0.04,,,,-1,-0.04,32,0.03731343284
,1.231343284,-1.05,0.29,0.04,,,,-1,-0.04,33,0.03731343284
,1.268656716,-0.98,0.3,0.06,,,,-1,-0.06,34,0.03731343284
,1.305970149,-1.07,0.34,0.06,,,,-1,-0.06,35,0.03731343284
,1.343283582,-1.02,0.32,0.04,,,,-1,-0.04,36,0.03731343284
,1.380597015,-1.02,0.33,0.06,,,,-1,-0.06,37,0.03731343284
,1.417910448,-1,0.28,0.02,,,,-1,-0.02,38,0.03731343284
,1.455223881,-1.04,0.34,0.05,,,,-1,-0.05,39,0.03731343284
,1.492537313,-0.99,0.34,0.06,,,,-1,-0.06,40,0.03731343284
,1.529850746,-0.96,0.34,0.08,,,,-1,-0.08,41,0.03731343284
,1.567164179,-0.94,0.36,0.07,,,,-1,-0.07,42,0.03731343284
,1.604477612,-1.04,0.29,0.02,,,,-1,-0.02,43,0.03731343284
,1.641791045,-1.06,0.29,0.03,,,,-1,-0.03,44,0.03731343284
,1.679104478,-0.99,0.37,0.07,,,,-1,-0.07,45,0.03731343284
,1.71641791,-1.11,0.32,0.04,,,,-1,-0.04,46,0.03731343284
,1.753731343,-0.94,0.33,0.06,,,,-1,-0.06,47,0.03731343284
,1.791044776,-1.02,0.32,0.05,,,,-1,-0.05,48,0.03731343284
,1.828358209,-1.01,0.32,0.05,,,,-1,-0.05,49,0.03731343284
,1.865671642,-0.97,0.33,0.06,,,,-1,-0.06,50,0.03731343284
,1.902985075,-1.04,0.32,0.04,,,,-1,-0.04,51,0.03731343284
,1.940298507,-0.89,0.29,0.05,,,,-1,-0.05,52,0.03731343284
,1.97761194,-1,0.36,0.06,,,,-1,-0.06,53,0.03731343284
,2.014925373,-1.06,0.36,0.06,,,,-1,-0.06,54,0.03731343284
,2.052238806,-0.97,0.37,0.09,,,,-1,-0.09,55,0.03731343284
,2.089552239,-1.12,0.34,0.04,,,,-1,-0.04,56,0.03731343284
,2.126865672,-0.89,0.31,0.05,,,,-1,-0.05,57,0.03731343284
,2.164179104,-0.96,0.35,0.07,,,,-1,-0.07,58,0.03731343284
,2.201492537,-1.12,0.25,0,,,,-1,0,59,0.03731343284
,2.23880597,-0.93,0.34,0.06,,,,-1,-0.06,60,0.03731343284
,2.276119403,-34.07,0.27,0.02,,,,-1,-0.02,61,0.03731343284
,2.313432836,-0.97,0.29,0.04,,,,-1,-0.04,62,0.03731343284
,2.350746269,-1.01,0.39,0.07,,,,-1,-0.07,63,0.03731343284
,2.388059701,-0.94,0.34,0.07,,,,-1,-0.07,64,0.03731343284
,2.425373134,-1.02,0.3,0.04,,,,-1,-0.04,65,0.03731343284
,2.462686567,-1.01,0.32,0.02,,,,-1,-0.02,66,0.03731343284
,2.5,-0.98,0.36,0.08,,,,-1,-0.08,67,0.03731343284
,2.537313433,-1,0.36,0.07,,,,-1,-0.07,68,0.03731343284
,2.574626866,-1,0.3,0.05,,,,-1,-0.05,69,0.03731343284
,2.611940299,-0.97,0.36,0.06,,,,-1,-0.06,70,0.03731343284
,2.649253731,-0.93,0.3,0.04,,,,-1,-0.04,71,0.03731343284
,2.686567164,-1.1,0.24,0.02,,,,-1,-0.02,72,0.03731343284
,2.723880597,-0.97,0.32,0.06,,,,-1,-0.06,73,0.03731343284
,2.76119403,-0.94,0.37,0.07,,,,-1,-0.07,74,0.03731343284
,2.798507463,-1.05,0.31,0.04,,,,-1,-0.04,75,0.03731343284
,2.835820896,0,0,0,,,,-1,0,76,0.03731343284
,2.873134328,-1,0.4,0.08,,,,-1,-0.08,77,0.03731343284
,2.910447761,-1.01,0.32,0.05,,,,-1,-0.05,78,0.03731343284
,2.947761194,-0.92,0.3,0.05,,,,-1,-0.05,79,0.03731343284
,2.985074627,-0.93,0.34,0.05,,,,-1,-0.05,80,0.03731343284
,3.02238806,-0.87,0.28,0.06,,,,-1,-0.06,81,0.03731343284
,3.059701493,-1.02,0.33,0.06,,,,-1,-0.06,82,0.03731343284
,3.097014925,-1.04,0.34,0.05,,,,-1,-0.05,83,0.03731343284
,3.134328358,-1.01,0.31,0.04,,,,-1,-0.04,84,0.03731343284
,3.171641791,-0.96,0.34,0.06,,,,-1,-0.06,85,0.03731343284
,3.208955224,-1.16,0.28,0.02,,,,-1,-0.02,86,0.03731343284
,3.246268657,-0.98,0.28,0.02,,,,-1,-0.02,87,0.03731343284
,3.28358209,-1.02,0.4,0.07,,,,-1,-0.07,88,0.03731343284
,3.320895522,-0.93,0.32,0.05,,,,-1,-0.05,89,0.03731343284
,3.358208955,-1.04,0.33,0.05,,,,-1,-0.05,90,0.03731343284
,3.395522388,-0.97,0.33,0.04,,,,-1,-0.04,91,0.03731343284
,3.432835821,-1,0.33,0.07,,,,-1,-0.07,92,0.03731343284
,3.470149254,-0.97,0.23,0.02,,,,-1,-0.02,93,0.03731343284
,3.507462687,-0.86,0.36,0.08,,,,-1,-0.08,94,0.03731343284
,3.544776119,-0.92,0.36,0.08,,,,-1,-0.08,95,0.03731343284
,3.582089552,-0.97,0.2,0,,,,-1,0,96,0.03731343284
,3.619402985,-0.96,0.32,0.05,,,,-1,-0.05,97,0.03731343284
,3.656716418,-1.12,0.26,0,,,,-1,0,98,0.03731343284
,3.694029851,-1.04,0.36,0.05,,,,-1,-0.05,99,0.03731343284
,3.731343284,-1.07,0.33,0.05,,,,-1,-0.05,100,0.03731343284
,3.768656716,-0.99,0.42,0.08,,,,-1,-0.08,101,0.03731343284
,3.805970149,-1.09,0.3,0.04,,,,-1,-0.04,102,0.03731343284
,3.843283582,-0.97,0.37,0.07,,,,-1,-0.07,103,0.03731343284
,3.880597015,-1.04,0.29,0.03,,,,-1,-0.03,104,0.03731343284
,3.917910448,-1,0.33,0.06,,,,-1,-0.06,105,0.03731343284
,3.955223881,-1.08,0.3,0.03,,,,-1,-0.03,106,0.03731343284
,3.992537313,-0.97,0.31,0.05,,,,-1,-0.05,107,0.03731343284
,4.029850746,-0.97,0.35,0.05,,,,-1,-0.05,108,0.03731343284
,4.067164179,-0.91,0.3,0.05,,,,-1,-0.05,109,0.03731343284
,4.104477612,-0.92,0.36,0.08,,,,-1,-0.08,110,0.03731343284
,4.141791045,-0.99,0.37,0.07,,,,-1,-0.07,111,0.03731343284
,4.179104478,-0.92,0.28,0.04,,,,-1,-0.04,112,0.03731343284
,4.21641791,-1.03,0.34,0.05,,,,-1,-0.05,113,0.03731343284
,4.253731343,-1.09,0.33,0.03,,,,-1,-0.03,114,0.03731343284
,4.291044776,-0.95,0.36,0.07,,,,-1,-0.07,115,0.03731343284
,4.328358209,-0.99,0.33,0.05,,,,-1,-0.05,116,0.03731343284
,4.365671642,-1,0.3,0.05,,,,-1,-0.05,117,0.03731343284
,4.402985075,-1.04,0.36,0.06,,,,-1,-0.06,118,0.03731343284
,4.440298507,-1.07,0.3,0.04,,,,-1,-0.04,119,0.03731343284
,4.47761194,-1,0.35,0.05,,,,-1,-0.05,120,0.03731343284
,4.514925373,-1,0.3,0.03,,,,-1,-0.03,121,0.03731343284
,4.552238806,-1.04,0.35,0.05,,,,-1,-0.05,122,0.03731343284
,4.589552239,-0.98,0.34,0.05,,,,-1,-0.05,123,0.03731343284
,4.626865672,-1.05,0.3,0.04,,,,-1,-0.04,124,0.03731343284
,4.664179104,-1,0.35,0.06,,,,-1,-0.06,125,0.03731343284
,4.701492537,-1.04,0.29,0.04,,,,-1,-0.04,126,0.03731343284
,4.73880597,-0.94,0.32,0.04,,,,-1,-0.04,127,0.03731343284
,4.776119403,-1.02,0.3,0.03,,,,-1,-0.03,128,0.03731343284
,4.813432836,-1.06,0.36,0.06,,,,-1,-0.06,129,0.03731343284
,4.850746269,-1.09,0.29,0.02,,,,-1,-0.02,130,0.03731343284
,4.888059701,-0.94,0.37,0.07,,,,-1,-0.07,131,0.03731343284
,4.925373134,-1.17,0.27,0.02,,,,-1,-0.02,132,0.03731343284
,4.962686567,-0.97,0.39,0.08,,,,-1,-0.08,133,0.03731343284
,5,-1,0.36,0.07,,,,-1,-0.07,134,0.03731343284
,5.037313433,-0.93,0.3,0.06,,,,-1,-0.06,135,0.03731343284
,5.074626866,-1.11,0.25,0.03,,,,-1,-0.03,136,0.03731343284
