time,Xa,Ya,Za,,,,,,,
0.03745318352,-1.01,0.22,0.02,,,,-1,-0.02,1,0.03745318352
0.07490636704,-1.07,0.22,0.03,,,,-1,-0.03,2,0.03745318352
0.1123595506,-1.07,0.22,0.03,,,,-1,-0.03,3,0.03745318352
0.1498127341,-1.07,0.22,0.03,,,,-1,-0.03,4,0.03745318352
0.1872659176,-1.04,0.32,0.04,,,,-1,-0.04,5,0.03745318352
0.2247191011,-1.36,0.43,0.07,,,,-1,-0.07,6,0.03745318352
0.2621722846,-0.85,0.25,0.06,,,,-1,-0.06,7,0.03745318352
0.2996254682,-1.03,0.37,0.05,,,,-1,-0.05,8,0.03745318352
0.3370786517,-0.97,0.35,0.09,,,,-1,-0.09,9,0.03745318352
0.3745318352,-0.94,0.32,0.05,,,,-1,-0.05,10,0.03745318352
0.4119850187,-1.02,0.36,0.08,,,,-1,-0.08,11,0.03745318352
0.4494382022,-1.14,0.32,0.08,,,,-1,-0.08,12,0.03745318352
0.4868913858,-1.06,0.36,0.05,,,,-1,-0.05,13,0.03745318352
0.5243445693,-1.08,0.28,0.04,,,,-1,-0.04,14,0.03745318352
0.5617977528,-1.05,0.27,0.08,,,,-1,-0.08,15,0.03745318352
0.5992509363,-1.2,0.29,0.04,,,,-1,-0.04,16,0.03745318352
0.6367041199,-1.02,0.25,0.05,,,,-1,-0.05,17,0.03745318352
0.6741573034,-1.02,0.33,0.06,,,,-1,-0.06,18,0.03745318352
0.7116104869,-1.08,0.24,0.01,,,,-1,-0.01,19,0.03745318352
0.7490636704,-1.08,0.38,0.04,,,,-1,-0.04,20,0.03745318352
0.7865168539,-0.97,0.29,0.03,,,,-1,-0.03,21,0.03745318352
0.8239700375,-0.98,0.29,0.05,,,,-1,-0.05,22,0.03745318352
0.861423221,-1.12,0.3,0.07,,,,-1,-0.07,23,0.03745318352
0.8988764045,-1.02,0.25,0.05,,,,-1,-0.05,24,0.03745318352
0.936329588,-1.03,0.29,0.05,,,,-1,-0.05,25,0.03745318352
0.9737827715,-0.85,0.27,0.07,,,,-1,-0.07,26,0.03745318352
1.011235955,-1.13,0.25,0.03,,,,-1,-0.03,27,0.03745318352
1.048689139,-1.09,0.32,0.04,,,,-1,-0.04,28,0.03745318352
1.086142322,-1.02,0.35,0.06,,,,-1,-0.06,29,0.03745318352
1.123595506,-0.97,0.31,0.07,,,,-1,-0.07,30,0.03745318352
1.161048689,-0.92,0.37,0.08,,,,-1,-0.08,31,0.03745318352
1.198501873,-1.18,0.34,0.05,,,,-1,-0.05,32,0.03745318352
1.235955056,-0.93,0.31,0.07,,,,-1,-0.07,33,0.03745318352
1.27340824,-0.96,0.27,0.04,,,,-1,-0.04,34,0.03745318352
1.310861423,-0.94,0.31,0.06,,,,-1,-0.06,35,0.03745318352
1.348314607,-1.2,0.39,0.04,,,,-1,-0.04,36,0.03745318352
1.38576779,-0.77,0.33,0.09,,,,-1,-0.09,37,0.03745318352
1.423220974,-0.97,0.4,0.06,,,,-1,-0.06,38,0.03745318352
1.460674157,-0.88,0.33,0.09,,,,-1,-0.09,39,0.03745318352
1.498127341,-1.07,0.3,0.08,,,,-1,-0.08,40,0.03745318352
1.535580524,-1.1,0.28,0.08,,,,-1,-0.08,41,0.03745318352
1.573033708,-1.11,0.37,0.05,,,,-1,-0.05,42,0.03745318352
1.610486891,-0.87,0.42,0.1,,,,-1,-0.1,43,0.03745318352
1.647940075,-0.89,0.34,0.07,,,,-1,-0.07,44,0.03745318352
1.685393258,-0.91,0.4,0.09,,,,-1,-0.09,45,0.03745318352
1.722846442,-0.84,0.31,0.09,,,,-1,-0.09,46,0.03745318352
1.760299625,-0.98,0.34,0.1,,,,-1,-0.1,47,0.03745318352
1.797752809,-1.05,0.38,0.06,,,,-1,-0.06,48,0.03745318352
1.835205993,-0.91,0.29,0.07,,,,-1,-0.07,49,0.03745318352
1.872659176,-1.09,0.29,0.02,,,,-1,-0.02,50,0.03745318352
1.91011236,-1.11,0.34,0.04,,,,-1,-0.04,51,0.03745318352
1.947565543,-0.97,0.36,0.08,,,,-1,-0.08,52,0.03745318352
1.985018727,-0.95,0.39,0.05,,,,-1,-0.05,53,0.03745318352
2.02247191,-1,0.29,0.05,,,,-1,-0.05,54,0.03745318352
2.059925094,-1.17,0.41,0.08,,,,-1,-0.08,55,0.03745318352
2.097378277,-1.03,0.39,0.09,,,,-1,-0.09,56,0.03745318352
2.134831461,-1.2,0.42,0.1,,,,-1,-0.1,57,0.03745318352
2.172284644,-0.86,0.39,0.09,,,,-1,-0.09,58,0.03745318352
2.209737828,-0.84,0.39,0.11,,,,-1,-0.11,59,0.03745318352
2.247191011,-0.88,0.41,0.12,,,,-1,-0.12,60,0.03745318352
2.284644195,-0.93,0.3,0.04,,,,-1,-0.04,61,0.03745318352
2.322097378,-0.9,0.33,0.08,,,,-1,-0.08,62,0.03745318352
2.359550562,-1.01,0.27,0.08,,,,-1,-0.08,63,0.03745318352
2.397003745,-0.95,0.32,0.07,,,,-1,-0.07,64,0.03745318352
2.434456929,-0.86,0.34,0.09,,,,-1,-0.09,65,0.03745318352
2.471910112,-0.98,0.31,0.05,,,,-1,-0.05,66,0.03745318352
2.509363296,-1.04,0.33,0.06,,,,-1,-0.06,67,0.03745318352
2.546816479,-1.05,0.41,0.08,,,,-1,-0.08,68,0.03745318352
2.584269663,-1.02,0.34,0.1,,,,-1,-0.1,69,0.03745318352
2.621722846,-0.96,0.39,0.09,,,,-1,-0.09,70,0.03745318352
2.65917603,-1.07,0.29,0.07,,,,-1,-0.07,71,0.03745318352
2.696629213,-1.01,0.3,0.04,,,,-1,-0.04,72,0.03745318352
2.734082397,-1.14,0.35,0.06,,,,-1,-0.06,73,0.03745318352
2.771535581,-1.02,0.27,0.07,,,,-1,-0.07,74,0.03745318352
2.808988764,-1.04,0.4,0.05,,,,-1,-0.05,75,0.03745318352
2.846441948,-0.87,0.35,0.1,,,,-1,-0.1,76,0.03745318352
2.883895131,-1.03,0.35,0.05,,,,-1,-0.05,77,0.03745318352
2.921348315,-1.01,0.26,0.05,,,,-1,-0.05,78,0.03745318352
2.958801498,-0.94,0.37,0.12,,,,-1,-0.12,79,0.03745318352
2.996254682,-1.03,0.31,0.06,,,,-1,-0.06,80,0.03745318352
3.033707865,-1.06,0.28,0.05,,,,-1,-0.05,81,0.03745318352
3.071161049,-1.17,0.33,0.06,,,,-1,-0.06,82,0.03745318352
3.108614232,-1.08,0.35,0.07,,,,-1,-0.07,83,0.03745318352
3.146067416,-1.13,0.23,0.01,,,,-1,-0.01,84,0.03745318352
3.183520599,-0.9,0.22,0.06,,,,-1,-0.06,85,0.03745318352
3.220973783,-1.05,0.26,0.05,,,,-1,-0.05,86,0.03745318352
3.258426966,-1.22,0.28,0.02,,,,-1,-0.02,87,0.03745318352
3.29588015,-1.1,0.31,0.08,,,,-1,-0.08,88,0.03745318352
3.333333333,-0.97,0.37,0.09,,,,-1,-0.09,89,0.03745318352
3.370786517,-0.93,0.3,0.09,,,,-1,-0.09,90,0.03745318352
3.4082397,-0.91,0.33,0.08,,,,-1,-0.08,91,0.03745318352
3.445692884,-1.1,0.34,0.06,,,,-1,-0.06,92,0.03745318352
3.483146067,-0.92,0.31,0.07,,,,-1,-0.07,93,0.03745318352
3.520599251,-1.14,0.37,0.05,,,,-1,-0.05,94,0.03745318352
3.558052434,-0.95,0.34,0.08,,,,-1,-0.08,95,0.03745318352
3.595505618,-1.06,0.29,0.04,,,,-1,-0.04,96,0.03745318352
3.632958801,-0.93,0.24,0.04,,,,-1,-0.04,97,0.03745318352
3.670411985,-0.93,0.3,0.07,,,,-1,-0.07,98,0.03745318352
3.707865169,-0.98,0.36,0.08,,,,-1,-0.08,99,0.03745318352
3.745318352,-1.06,0.29,0.05,,,,-1,-0.05,100,0.03745318352
3.782771536,-1.04,0.33,0.07,,,,-1,-0.07,101,0.03745318352
3.820224719,-1.27,0.24,0.05,,,,-1,-0.05,102,0.03745318352
3.857677903,-1.13,0.31,0.03,,,,-1,-0.03,103,0.03745318352
3.895131086,-1.01,0.31,0.04,,,,-1,-0.04,104,0.03745318352
3.93258427,-1.11,0.36,0.04,,,,-1,-0.04,105,0.03745318352
3.970037453,-1.18,0.33,0.06,,,,-1,-0.06,106,0.03745318352
4.007490637,-1.13,0.28,0.07,,,,-1,-0.07,107,0.03745318352
4.04494382,-1.25,0.36,0.02,,,,-1,-0.02,108,0.03745318352
4.082397004,-0.98,0.37,0.09,,,,-1,-0.09,109,0.03745318352
4.119850187,-1.12,0.31,0.06,,,,-1,-0.06,110,0.03745318352
4.157303371,-1,0.32,0.05,,,,-1,-0.05,111,0.03745318352
4.194756554,-0.99,0.27,0.05,,,,-1,-0.05,112,0.03745318352
4.232209738,-1.01,0.29,0.03,,,,-1,-0.03,113,0.03745318352
4.269662921,-0.96,0.31,0.03,,,,-1,-0.03,114,0.03745318352
4.307116105,-0.97,0.31,0.04,,,,-1,-0.04,115,0.03745318352
4.344569288,-0.92,0.31,0.04,,,,-1,-0.04,116,0.03745318352
4.382022472,-1.06,0.41,0.06,,,,-1,-0.06,117,0.03745318352
4.419475655,-1,0.44,0.11,,,,-1,-0.11,118,0.03745318352
4.456928839,-1,0.27,0.04,,,,-1,-0.04,119,0.03745318352
4.494382022,-1.03,0.29,0.04,,,,-1,-0.04,120,0.03745318352
4.531835206,-0.95,0.3,0.05,,,,-1,-0.05,121,0.03745318352
4.56928839,-1.06,0.43,0.08,,,,-1,-0.08,122,0.03745318352
4.606741573,-0.82,0.39,0.12,,,,-1,-0.12,123,0.03745318352
4.644194757,-1,0.35,0.06,,,,-1,-0.06,124,0.03745318352
4.68164794,-1,0.37,0.07,,,,-1,-0.07,125,0.03745318352
4.719101124,-0.97,0.31,0.07,,,,-1,-0.07,126,0.03745318352
4.756554307,-1.09,0.31,0.06,,,,-1,-0.06,127,0.03745318352
4.794007491,-1.07,0.28,0.05,,,,-1,-0.05,128,0.03745318352
4.831460674,-1.04,0.38,0.08,,,,-1,-0.08,129,0.03745318352
4.868913858,-0.89,0.36,0.09,,,,-1,-0.09,130,0.03745318352
4.906367041,-1.01,0.34,0.06,,,,-1,-0.06,131,0.03745318352
4.943820225,-0.98,0.32,0.05,,,,-1,-0.05,132,0.03745318352
